"","time","culture","cfu","eco","count","dilution","pop","popabc","relfreq","cycle","culture_type","r_dep"
"197",64,"MCF2",2e+05,"aux",1,3,2,"b",0.000249937515621095,2,"cf",-0.458145365937078
"198",64,"MCF2",2e+05,"aux",1,3,3,"c",9.99900009999e-05,2,"cf",0.346573590279973
"199",66,"MCF2",1.4e+09,"op",7,6,1,"a",0.985915492957746,2,"cf",0.524911062249339
"200",66,"MCF2",2e+09,"op",1,7,2,"b",0.999900009999,2,"cf",-2.64915868327402
"201",66,"MCF2",1e+09,"op",5,6,3,"c",0.999800039992002,2,"cf",0
"202",66,"MCF2",2e+07,"aux",1,5,1,"a",0.0140845070422535,2,"cf",-0.524911062249339
"203",66,"MCF2",2e+05,"aux",1,3,2,"b",9.99900009999e-05,2,"cf",2.64915868327402
"204",66,"MCF2",2e+05,"aux",1,3,3,"c",0.0001999600079984,2,"cf",0
"205",68,"MCF2",2e+09,"op",1,7,1,"a",0.995024875621891,2,"cf",-0.346573590279973
"206",68,"MCF2",4e+08,"op",2,6,2,"b",0.980392156862745,2,"cf",1.84443972705697
"207",68,"MCF2",1e+09,"op",5,6,3,"c",0.999800039992002,2,"cf",-0.80471895621705
"208",68,"MCF2",1e+07,"aux",5,4,1,"a",0.00497512437810945,2,"cf",0.346573590279973
"209",68,"MCF2",8e+06,"aux",4,4,2,"b",0.0196078431372549,2,"cf",-1.84443972705697
"210",68,"MCF2",2e+05,"aux",1,3,3,"c",0.0001999600079984,2,"cf",0.80471895621705
"211",70,"MCF2",2e+09,"op",1,7,1,"a",0.99009900990099,2,"cf",-1.6094379124341
"212",70,"MCF2",2e+09,"op",1,7,2,"b",0.999500249875062,2,"cf",0.626381484247684
"213",70,"MCF2",2e+08,"op",1,6,3,"c",0.999000999000999,2,"cf",0.29891850037781
"214",70,"MCF2",2e+07,"aux",1,5,1,"a",0.0099009900990099,2,"cf",1.6094379124341
"215",70,"MCF2",1e+06,"aux",5,3,2,"b",0.000499750124937531,2,"cf",-0.626381484247684
"216",70,"MCF2",2e+05,"aux",1,3,3,"c",0.000999000999000999,2,"cf",-0.29891850037781
"217",72,"MCF2",8e+08,"op",4,6,1,"a",0.8,2,"cf",2.52572864430826
"218",72,"MCF2",1.4e+09,"op",7,6,2,"b",0.999857163262391,2,"cf",-0.024395082084716
"219",72,"MCF2",4e+08,"op",2,6,3,"c",0.999450302333716,2,"cf",0.852374046119213
"220",72,"MCF2",2e+08,"aux",1,6,1,"a",0.2,2,"cf",-2.52572864430826
"221",72,"MCF2",2e+05,"aux",10,2,2,"b",0.000142836737608913,2,"cf",0.024395082084716
"222",72,"MCF2",220000,"aux",11,2,3,"c",0.000549697666283544,2,"cf",-0.852374046119213
"223",74,"MCF2",2e+09,"op",1,7,1,"a",0.998402555910543,2,"cf",-1.46559687620821
"224",74,"MCF2",4e+08,"op",2,6,2,"b",0.999850022496625,2,"cf",0.549306144334055
"225",74,"MCF2",2e+09,"op",1,7,3,"c",0.999900009999,2,"cf",-1.497866136777
"226",74,"MCF2",3200000,"aux",16,3,1,"a",0.00159744408945687,2,"cf",1.46559687620821
"227",74,"MCF2",60000,"aux",3,2,2,"b",0.000149977503374494,2,"cf",-0.549306144334055
"228",74,"MCF2",2e+05,"aux",1,3,3,"c",9.99900009999e-05,2,"cf",1.497866136777
"229",76,"MCF2",2e+08,"op",1,6,1,"a",0.99009901,2,"cf",0.549306144334055
"230",76,"MCF2",4e+09,"op",2,7,2,"b",0.99950025,2,"cf",-1.03972077083992
"231",76,"MCF2",2e+08,"op",1,6,3,"c",0.999000999,2,"cf",0.645492090657783
"232",76,"MCF2",6e+06,"aux",3,4,1,"a",0.00990099,2,"cf",-0.549306144334055
"233",76,"MCF2",2e+05,"aux",1,3,2,"b",0.00049975,2,"cf",1.03972077083992
"234",76,"MCF2",4e+05,"aux",2,3,3,"c",0.000999001,2,"cf",-0.645492090657783
"235",78,"MCF2",4e+08,"op",2,6,1,"a",0.99009901,2,"cf",0.80471895621705
"236",78,"MCF2",2e+08,"op",1,6,2,"b",0.99950025,2,"cf",0.861383298870552
"237",78,"MCF2",4e+08,"op",2,6,3,"c",0.999000999,2,"cf",-0.645492090657783
"238",78,"MCF2",4e+06,"aux",2,4,1,"a",0.00990099,2,"cf",-0.80471895621705
"239",78,"MCF2",80000,"aux",4,2,2,"b",0.00049975,2,"cf",-0.861383298870552
"240",78,"MCF2",220000,"aux",11,2,3,"c",0.000999001,2,"cf",0.645492090657783
"241",80,"MCF2",1e+09,"op",5,6,1,"a",0.998003992015968,2,"cf",-0.202732554054082
"242",80,"MCF2",1.4e+09,"op",7,6,2,"b",0.999928576530248,2,"cf",-0.168236118310607
"243",80,"MCF2",2e+08,"op",1,6,3,"c",0.998003992015968,2,"cf",0
"244",80,"MCF2",2e+06,"aux",1,4,1,"a",0.00199600798403194,2,"cf",0.202732554054082
"245",80,"MCF2",1e+05,"aux",5,2,2,"b",7.14234697521606e-05,2,"cf",0.168236118310607
"246",80,"MCF2",4e+05,"aux",2,3,3,"c",0.00199600798403194,2,"cf",0
"247",82,"MCF2",2e+09,"op",1,7,1,"a",0.997008973080758,2,"cf",1.00745151027113
"248",82,"MCF2",8e+08,"op",4,6,2,"b",0.999900009999,2,"cf",0
"249",82,"MCF2",6e+08,"op",3,6,3,"c",0.998003992015968,2,"cf",-0.458145365937078
"250",82,"MCF2",6e+06,"aux",3,4,1,"a",0.00299102691924227,2,"cf",-1.00745151027113
"251",82,"MCF2",80000,"aux",4,2,2,"b",9.99900009999e-05,2,"cf",0
"252",82,"MCF2",1200000,"aux",6,3,3,"c",0.00199600798403194,2,"cf",0.458145365937078
"253",84,"MCF2",2e+09,"op",1,7,1,"a",0.999600159936026,2,"cf",-1.55675765460519
"254",84,"MCF2",6e+08,"op",3,6,2,"b",0.999900009999,2,"cf",1.15129254649702
"255",84,"MCF2",4e+08,"op",2,6,3,"c",0.995024875621891,2,"cf",1.95601150271407
"256",84,"MCF2",8e+05,"aux",4,3,1,"a",0.00039984006397441,2,"cf",1.55675765460519
"257",84,"MCF2",60000,"aux",3,2,2,"b",9.99900009999e-05,2,"cf",-1.15129254649702
"258",84,"MCF2",2e+06,"aux",1,4,3,"c",0.00497512437810945,2,"cf",-1.95601150271407
"259",86,"MCF2",2e+08,"op",1,6,1,"a",0.99009901,2,"cf",1.09861228866811
"260",86,"MCF2",2e+09,"op",1,7,2,"b",0.99950025,2,"cf",-0.178337471969366
"261",86,"MCF2",2e+09,"op",1,7,3,"c",0.999000999,2,"cf",-1.42798516558942
"262",86,"MCF2",1800000,"aux",9,3,1,"a",0.00990099,2,"cf",-1.09861228866811
"263",86,"MCF2",20000,"aux",1,2,2,"b",0.00049975,2,"cf",0.178337471969366
