"","Time","sample","value","strain","replicate","media","background"
"5178",1080,"G6",0.46939513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5179",1080,"G7",0.97139513,"auxotroph ∆metB","1","Met (+)","mutant"
"5180",1080,"G8",0.53639513,"auxotroph ∆metB","2","Met (+)","mutant"
"5181",1080,"G9",0.96339513,"auxotroph ∆metB","3","Met (+)","mutant"
"5182",1080,"G10",0.50039513,"wild-type (supplemented)","1","Met (+)","wt"
"5183",1080,"G11",0.61639513,"wild-type (supplemented)","2","Met (+)","wt"
"5184",1080,"G12",0.54639513,"wild-type (supplemented)","3","Met (+)","wt"
"5185",1095,"B1",0.31939513,"overproducer ∆metJ","1","Met (-)","mutant"
"5186",1095,"B2",0.63339513,"overproducer ∆metJ","2","Met (-)","mutant"
"5187",1095,"B3",0.57839513,"overproducer ∆metJ","3","Met (-)","mutant"
"5188",1095,"B4",0.56539513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5189",1095,"B5",0.63739513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5190",1095,"B6",0.61339513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5191",1095,"B7",1.06039513,"auxotroph ∆metB","1","Met (+)","mutant"
"5192",1095,"B8",0.79539513,"auxotroph ∆metB","2","Met (+)","mutant"
"5193",1095,"B9",1.05339513,"auxotroph ∆metB","3","Met (+)","mutant"
"5194",1095,"B10",0.66239513,"wild-type (supplemented)","1","Met (+)","wt"
"5195",1095,"B11",0.55039513,"wild-type (supplemented)","2","Met (+)","wt"
"5196",1095,"B12",0.64339513,"wild-type (supplemented)","3","Met (+)","wt"
"5197",1095,"C1",0.29439513,"overproducer ∆metJ","1","Met (-)","mutant"
"5198",1095,"C2",0.63339513,"overproducer ∆metJ","2","Met (-)","mutant"
"5199",1095,"C3",0.61939513,"overproducer ∆metJ","3","Met (-)","mutant"
"5200",1095,"C4",0.63039513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5201",1095,"C5",0.54639513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5202",1095,"C6",0.73039513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5203",1095,"C7",0.99739513,"auxotroph ∆metB","1","Met (+)","mutant"
"5204",1095,"C8",0.80939513,"auxotroph ∆metB","2","Met (+)","mutant"
"5205",1095,"C9",1.03139513,"auxotroph ∆metB","3","Met (+)","mutant"
"5206",1095,"C10",0.70939513,"wild-type (supplemented)","1","Met (+)","wt"
"5207",1095,"C11",0.55539513,"wild-type (supplemented)","2","Met (+)","wt"
"5208",1095,"C12",0.64239513,"wild-type (supplemented)","3","Met (+)","wt"
"5209",1095,"D1",0.39439513,"overproducer ∆metJ","1","Met (-)","mutant"
"5210",1095,"D2",0.63339513,"overproducer ∆metJ","2","Met (-)","mutant"
"5211",1095,"D3",0.62239513,"overproducer ∆metJ","3","Met (-)","mutant"
"5212",1095,"D4",0.55439513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5213",1095,"D5",0.50339513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5214",1095,"D6",0.56739513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5215",1095,"D7",1.03239513,"auxotroph ∆metB","1","Met (+)","mutant"
"5216",1095,"D8",0.58139513,"auxotroph ∆metB","2","Met (+)","mutant"
"5217",1095,"D9",1.01439513,"auxotroph ∆metB","3","Met (+)","mutant"
"5218",1095,"D10",0.64939513,"wild-type (supplemented)","1","Met (+)","wt"
"5219",1095,"D11",0.49739513,"wild-type (supplemented)","2","Met (+)","wt"
"5220",1095,"D12",0.64839513,"wild-type (supplemented)","3","Met (+)","wt"
"5221",1095,"E1",0.27039513,"overproducer ∆metJ","1","Met (-)","mutant"
"5222",1095,"E2",0.53539513,"overproducer ∆metJ","2","Met (-)","mutant"
"5223",1095,"E3",0.57339513,"overproducer ∆metJ","3","Met (-)","mutant"
"5224",1095,"E4",0.56339513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5225",1095,"E5",0.46239513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5226",1095,"E6",0.50439513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5227",1095,"E7",0.96639513,"auxotroph ∆metB","1","Met (+)","mutant"
"5228",1095,"E8",0.68639513,"auxotroph ∆metB","2","Met (+)","mutant"
"5229",1095,"E9",0.99139513,"auxotroph ∆metB","3","Met (+)","mutant"
"5230",1095,"E10",0.64539513,"wild-type (supplemented)","1","Met (+)","wt"
"5231",1095,"E11",0.59739513,"wild-type (supplemented)","2","Met (+)","wt"
"5232",1095,"E12",0.58639513,"wild-type (supplemented)","3","Met (+)","wt"
"5233",1095,"F1",0.23839513,"overproducer ∆metJ","1","Met (-)","mutant"
"5234",1095,"F2",0.55139513,"overproducer ∆metJ","2","Met (-)","mutant"
"5235",1095,"F3",0.55939513,"overproducer ∆metJ","3","Met (-)","mutant"
"5236",1095,"F4",0.51039513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5237",1095,"F5",0.37339513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5238",1095,"F6",0.52339513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5239",1095,"F7",1.01339513,"auxotroph ∆metB","1","Met (+)","mutant"
"5240",1095,"F8",0.52339513,"auxotroph ∆metB","2","Met (+)","mutant"
"5241",1095,"F9",0.99239513,"auxotroph ∆metB","3","Met (+)","mutant"
"5242",1095,"F10",0.56539513,"wild-type (supplemented)","1","Met (+)","wt"
"5243",1095,"F11",0.62839513,"wild-type (supplemented)","2","Met (+)","wt"
"5244",1095,"F12",0.53439513,"wild-type (supplemented)","3","Met (+)","wt"
"5245",1095,"G1",0.30439513,"overproducer ∆metJ","1","Met (-)","mutant"
"5246",1095,"G2",0.58539513,"overproducer ∆metJ","2","Met (-)","mutant"
"5247",1095,"G3",0.66839513,"overproducer ∆metJ","3","Met (-)","mutant"
"5248",1095,"G4",0.48239513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5249",1095,"G5",0.42739513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5250",1095,"G6",0.47139513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5251",1095,"G7",0.99239513,"auxotroph ∆metB","1","Met (+)","mutant"
"5252",1095,"G8",0.53739513,"auxotroph ∆metB","2","Met (+)","mutant"
"5253",1095,"G9",0.98239513,"auxotroph ∆metB","3","Met (+)","mutant"
"5254",1095,"G10",0.51739513,"wild-type (supplemented)","1","Met (+)","wt"
"5255",1095,"G11",0.65139513,"wild-type (supplemented)","2","Met (+)","wt"
"5256",1095,"G12",0.55939513,"wild-type (supplemented)","3","Met (+)","wt"
"5257",1110,"B1",0.29839513,"overproducer ∆metJ","1","Met (-)","mutant"
"5258",1110,"B2",0.64039513,"overproducer ∆metJ","2","Met (-)","mutant"
"5259",1110,"B3",0.58439513,"overproducer ∆metJ","3","Met (-)","mutant"
"5260",1110,"B4",0.56239513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5261",1110,"B5",0.64639513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5262",1110,"B6",0.61739513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5263",1110,"B7",1.04239513,"auxotroph ∆metB","1","Met (+)","mutant"
"5264",1110,"B8",0.80439513,"auxotroph ∆metB","2","Met (+)","mutant"
"5265",1110,"B9",1.03439513,"auxotroph ∆metB","3","Met (+)","mutant"
"5266",1110,"B10",0.68039513,"wild-type (supplemented)","1","Met (+)","wt"
"5267",1110,"B11",0.55639513,"wild-type (supplemented)","2","Met (+)","wt"
"5268",1110,"B12",0.66239513,"wild-type (supplemented)","3","Met (+)","wt"
"5269",1110,"C1",0.29139513,"overproducer ∆metJ","1","Met (-)","mutant"
"5270",1110,"C2",0.63039513,"overproducer ∆metJ","2","Met (-)","mutant"
"5271",1110,"C3",0.62239513,"overproducer ∆metJ","3","Met (-)","mutant"
"5272",1110,"C4",0.63139513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5273",1110,"C5",0.54639513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5274",1110,"C6",0.72839513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5275",1110,"C7",0.98039513,"auxotroph ∆metB","1","Met (+)","mutant"
"5276",1110,"C8",0.81839513,"auxotroph ∆metB","2","Met (+)","mutant"
"5277",1110,"C9",1.01739513,"auxotroph ∆metB","3","Met (+)","mutant"
"5278",1110,"C10",0.71139513,"wild-type (supplemented)","1","Met (+)","wt"
"5279",1110,"C11",0.58139513,"wild-type (supplemented)","2","Met (+)","wt"
"5280",1110,"C12",0.67639513,"wild-type (supplemented)","3","Met (+)","wt"
"5281",1110,"D1",0.41439513,"overproducer ∆metJ","1","Met (-)","mutant"
"5282",1110,"D2",0.63039513,"overproducer ∆metJ","2","Met (-)","mutant"
"5283",1110,"D3",0.62939513,"overproducer ∆metJ","3","Met (-)","mutant"
"5284",1110,"D4",0.55139513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5285",1110,"D5",0.50639513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5286",1110,"D6",0.56739513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5287",1110,"D7",1.01539513,"auxotroph ∆metB","1","Met (+)","mutant"
"5288",1110,"D8",0.57939513,"auxotroph ∆metB","2","Met (+)","mutant"
"5289",1110,"D9",1.00139513,"auxotroph ∆metB","3","Met (+)","mutant"
"5290",1110,"D10",0.65739513,"wild-type (supplemented)","1","Met (+)","wt"
"5291",1110,"D11",0.51839513,"wild-type (supplemented)","2","Met (+)","wt"
"5292",1110,"D12",0.65639513,"wild-type (supplemented)","3","Met (+)","wt"
